Landolt	U	(0.35)	0.268
Landolt	B	(0.43)	0.22399999999999998
Landolt	V	(0.54)	0.16899999999999998
Landolt	R	(0.64)	0.134
Landolt	I	(0.80)	0.09300000000000001
UKIRT	J	(1.25)	0.044000000000000004
UKIRT	H	(1.66)	0.027999999999999997
UKIRT	K	(2.19)	0.019
UKIRT	L'	(3.78)	0.009000000000000001
SDSS	u	(0.36)	0.262
SDSS	g	(0.47)	0.204
SDSS	r	(0.62)	0.141
SDSS	i	(0.75)	0.105
SDSS	z	(0.89)	0.078
